id;name;description;start;jhi_end
1;open-source turn-key;Sausages;2019-11-13;2019-11-14
2;Cambridgeshire hacking;bricks-and-clicks Concrete Global;2019-11-13;2019-11-13
3;Profound;parsing;2019-11-13;2019-11-13
4;content-based Executive;Customer Human deposit;2019-11-14;2019-11-14
5;Saint Helena Pound programming;AI optical invoice;2019-11-14;2019-11-13
6;solid state;Home Loan Account Tools Unbranded;2019-11-13;2019-11-13
7;clear-thinking;Latvia;2019-11-13;2019-11-14
8;Manager Fish;Networked;2019-11-14;2019-11-14
9;world-class program alarm;Nevada;2019-11-14;2019-11-13
10;withdrawal Ergonomic;Strategist target;2019-11-13;2019-11-13
