id;name;description;severity;probability;in_riskpool
1;mobile Fish;Home Loan Account Table Computer;NEUTRAL;NOTGONNAHAPPEN;false
2;Producer;Implementation Electronics Officer;OK;PROBABLY;false
3;Gorgeous Frozen Pants;Common;BAD;SURE;false
4;Factors;South Dakota envisioneer Music;LESSBAD;NOTLIKELY;true
5;Salad;Digitized invoice;LESSBAD;NOTGONNAHAPPEN;false
6;Facilitator;Views e-enable Communications;BAD;NOTGONNAHAPPEN;true
7;compress South Georgia and the South Sandwich Islands;compelling mission-critical;LESSBAD;PROBABLY;true
8;index orange;Jewelery;BAD;PROBABLY;true
9;Internal;Investment Account archive Fantastic Plastic Chicken;LESSBAD;SURE;false
10;Frozen bus;hard drive Robust Networked;BAD;NOTLIKELY;false
